sitename,cultivar,canopy_height,aboveground_dry_biomass,flag_leaf_emergence_time,flowering_time
MAC Field Scanner Season 4 Range 10 Column 10,PI152816,340.0,24040.0,,
MAC Field Scanner Season 4 Range 10 Column 11,PI195754,278.0,29400.0,,
MAC Field Scanner Season 4 Range 10 Column 12,PI329501,369.0,12180.0,,
MAC Field Scanner Season 4 Range 10 Column 13,PI641860,270.0,35400.0,91.0,
MAC Field Scanner Season 4 Range 10 Column 14,PI19770,263.0,19660.0,,
MAC Field Scanner Season 4 Range 10 Column 15,PI144134,331.0,16480.0,77.0,90.0
MAC Field Scanner Season 4 Range 10 Column 2,PI641807,307.0,33010.0,77.0,
MAC Field Scanner Season 4 Range 10 Column 3,PI175919,246.0,20920.0,,
MAC Field Scanner Season 4 Range 10 Column 4,PI297155,200.0,12780.0,,
MAC Field Scanner Season 4 Range 10 Column 5,PI641821,337.0,43730.0,70.0,74.0
MAC Field Scanner Season 4 Range 10 Column 6,PI179749,320.0,24430.0,50.0,56.0
MAC Field Scanner Season 4 Range 10 Column 7,PI255744,205.0,27500.0,,
MAC Field Scanner Season 4 Range 10 Column 8,PI586435,230.0,24690.0,,
MAC Field Scanner Season 4 Range 10 Column 9,PI641909,350.0,35050.0,,
MAC Field Scanner Season 4 Range 11 Column 10,PI561840,242.0,20140.0,72.0,74.0
MAC Field Scanner Season 4 Range 11 Column 11,PI533792,313.0,11030.0,50.0,56.0
MAC Field Scanner Season 4 Range 11 Column 12,PI656065,195.0,20880.0,,
MAC Field Scanner Season 4 Range 11 Column 13,PI535793,170.0,25330.0,62.0,64.0
MAC Field Scanner Season 4 Range 11 Column 14,PI535794,346.0,7179.0,62.0,68.0
MAC Field Scanner Season 4 Range 11 Column 15,PI535796,321.0,23100.0,62.0,68.0
MAC Field Scanner Season 4 Range 11 Column 2,PI576399,284.0,18200.0,72.0,90.0
MAC Field Scanner Season 4 Range 11 Column 3,PI655978,291.0,8921.0,64.0,69.0
MAC Field Scanner Season 4 Range 11 Column 4,PI180348,232.0,18790.0,50.0,56.0
MAC Field Scanner Season 4 Range 11 Column 5,PI181083,255.0,26280.0,46.0,54.0
MAC Field Scanner Season 4 Range 11 Column 6,PI564163,283.0,11630.0,62.0,68.0
MAC Field Scanner Season 4 Range 11 Column 7,PI656015,191.0,22030.0,,
MAC Field Scanner Season 4 Range 11 Column 8,PI534165,94.0,9515.0,,
MAC Field Scanner Season 4 Range 11 Column 9,PI52606,281.0,22080.0,62.0,68.0
MAC Field Scanner Season 4 Range 12 Column 10,PI562981,268.0,23830.0,,
MAC Field Scanner Season 4 Range 12 Column 11,PI569443,285.0,25160.0,,
MAC Field Scanner Season 4 Range 12 Column 12,PI641829,297.0,26620.0,70.0,74.0
MAC Field Scanner Season 4 Range 12 Column 13,PI641824,286.0,26520.0,70.0,78.0
MAC Field Scanner Season 4 Range 12 Column 14,PI570109,331.0,15130.0,,
MAC Field Scanner Season 4 Range 12 Column 15,PI641825,289.0,18050.0,62.0,68.0
MAC Field Scanner Season 4 Range 12 Column 2,PI533998,367.0,2252.0,70.0,71.0
MAC Field Scanner Season 4 Range 12 Column 3,PI253986,368.0,37320.0,,
MAC Field Scanner Season 4 Range 12 Column 4,PI655983,291.0,24960.0,,
MAC Field Scanner Season 4 Range 12 Column 5,PI181080,293.0,17590.0,48.0,55.0
MAC Field Scanner Season 4 Range 12 Column 6,PI221548,312.0,45750.0,,
MAC Field Scanner Season 4 Range 12 Column 7,PI213900,299.0,14250.0,50.0,54.0
MAC Field Scanner Season 4 Range 12 Column 8,PI641836,273.0,21390.0,,
MAC Field Scanner Season 4 Range 12 Column 9,PI35038,253.0,21660.0,68.0,71.0
MAC Field Scanner Season 4 Range 13 Column 10,PI152862,312.0,29310.0,,
MAC Field Scanner Season 4 Range 13 Column 11,PI152967,310.0,25900.0,,
MAC Field Scanner Season 4 Range 13 Column 12,PI514456,337.0,16450.0,,
MAC Field Scanner Season 4 Range 13 Column 13,PI563032,353.0,18720.0,,
MAC Field Scanner Season 4 Range 13 Column 14,PI154844,356.0,32360.0,,
MAC Field Scanner Season 4 Range 13 Column 15,PI156268,380.0,8841.0,,
MAC Field Scanner Season 4 Range 13 Column 2,PI297171,338.0,45400.0,,
MAC Field Scanner Season 4 Range 13 Column 3,PI330833,323.0,16430.0,,
MAC Field Scanner Season 4 Range 13 Column 4,PI569244,320.0,26630.0,,
MAC Field Scanner Season 4 Range 13 Column 5,PI586443,319.0,8775.0,,
MAC Field Scanner Season 4 Range 13 Column 6,PI562994,281.0,17550.0,,
MAC Field Scanner Season 4 Range 13 Column 7,PI329711,272.0,43840.0,,
MAC Field Scanner Season 4 Range 13 Column 8,PI329480,267.0,11580.0,,
MAC Field Scanner Season 4 Range 13 Column 9,PI329585,302.0,17530.0,,
MAC Field Scanner Season 4 Range 14 Column 10,PI196583,317.0,13680.0,,
MAC Field Scanner Season 4 Range 14 Column 11,PI570393,308.0,20780.0,,
MAC Field Scanner Season 4 Range 14 Column 12,PI329605,326.0,13390.0,,
MAC Field Scanner Season 4 Range 14 Column 13,PI563222,360.0,21420.0,,
MAC Field Scanner Season 4 Range 14 Column 14,PI156326,375.0,18340.0,,
MAC Field Scanner Season 4 Range 14 Column 15,PI641850,380.0,30060.0,91.0,
MAC Field Scanner Season 4 Range 14 Column 2,PI330182,315.0,1137.0,,
MAC Field Scanner Season 4 Range 14 Column 3,PI505717,344.0,20780.0,,
MAC Field Scanner Season 4 Range 14 Column 4,PI562985,302.0,21730.0,,
MAC Field Scanner Season 4 Range 14 Column 5,PI562997,320.0,32520.0,,
MAC Field Scanner Season 4 Range 14 Column 6,PI329550,305.0,29740.0,,
MAC Field Scanner Season 4 Range 14 Column 7,PI329618,333.0,7152.0,,
MAC Field Scanner Season 4 Range 14 Column 8,PI455307,322.0,30620.0,,
MAC Field Scanner Season 4 Range 14 Column 9,PI251672,325.0,22490.0,91.0,
MAC Field Scanner Season 4 Range 15 Column 10,PI513898,386.0,5146.0,,
MAC Field Scanner Season 4 Range 15 Column 11,PI329466,377.0,31880.0,,
MAC Field Scanner Season 4 Range 15 Column 12,PI154944,395.0,31370.0,,
MAC Field Scanner Season 4 Range 15 Column 13,PI273465,341.0,21870.0,,
MAC Field Scanner Season 4 Range 15 Column 14,PI620157,304.0,22940.0,,
MAC Field Scanner Season 4 Range 15 Column 15,PI506030,348.0,15830.0,,
MAC Field Scanner Season 4 Range 15 Column 2,PI329645,322.0,38120.0,,
MAC Field Scanner Season 4 Range 15 Column 3,PI570114,281.0,14550.0,,
MAC Field Scanner Season 4 Range 15 Column 4,PI156890,274.0,16670.0,,
MAC Field Scanner Season 4 Range 15 Column 5,PI569418,311.0,24400.0,,
MAC Field Scanner Season 4 Range 15 Column 6,PI583832,323.0,36430.0,,
MAC Field Scanner Season 4 Range 15 Column 7,PI152971,340.0,28380.0,,
MAC Field Scanner Season 4 Range 15 Column 8,PI329864,357.0,22310.0,,
MAC Field Scanner Season 4 Range 15 Column 9,PI329301,381.0,61030.0,,
MAC Field Scanner Season 4 Range 16 Column 10,PI569465,330.0,10310.0,,
MAC Field Scanner Season 4 Range 16 Column 11,PI585966,346.0,21200.0,,
MAC Field Scanner Season 4 Range 16 Column 12,PI570076,365.0,25860.0,,
MAC Field Scanner Season 4 Range 16 Column 13,PI146890,335.0,22990.0,,
