id,air_temperature,relative_humidity,created,start_time,end_time,created_az,start_time_az,end_time_az
155475278,283.680827586206,75.65944827586209,2018-05-25T20:18:38Z,2017-01-02T06:50:00Z,2017-01-02T06:55:00Z,2018-05-25 13:18:38-07:00,2017-01-01 23:50:00-07:00,2017-01-01 23:55:00-07:00
155475279,283.5308,77.7034,2018-05-25T20:18:38Z,2017-01-02T06:55:00Z,2017-01-02T07:00:00Z,2018-05-25 13:18:38-07:00,2017-01-01 23:55:00-07:00,2017-01-02 00:00:00-07:00
155475280,283.452766666667,78.14620000000009,2018-05-25T20:18:38Z,2017-01-02T07:00:00Z,2017-01-02T07:05:00Z,2018-05-25 13:18:38-07:00,2017-01-02 00:00:00-07:00,2017-01-02 00:05:00-07:00
155475281,283.581866666667,75.01046666666659,2018-05-25T20:18:38Z,2017-01-02T07:05:00Z,2017-01-02T07:10:00Z,2018-05-25 13:18:38-07:00,2017-01-02 00:05:00-07:00,2017-01-02 00:10:00-07:00
155475282,283.64599999999996,73.8664666666666,2018-05-25T20:18:38Z,2017-01-02T07:10:00Z,2017-01-02T07:15:00Z,2018-05-25 13:18:38-07:00,2017-01-02 00:10:00-07:00,2017-01-02 00:15:00-07:00
155475283,283.537933333334,74.3026666666668,2018-05-25T20:18:38Z,2017-01-02T07:15:00Z,2017-01-02T07:20:00Z,2018-05-25 13:18:38-07:00,2017-01-02 00:15:00-07:00,2017-01-02 00:20:00-07:00
155475284,283.449466666666,74.3827666666667,2018-05-25T20:18:38Z,2017-01-02T07:20:00Z,2017-01-02T07:25:00Z,2018-05-25 13:18:38-07:00,2017-01-02 00:20:00-07:00,2017-01-02 00:25:00-07:00
155475285,283.456433333332,72.2319666666667,2018-05-25T20:18:38Z,2017-01-02T07:25:00Z,2017-01-02T07:30:00Z,2018-05-25 13:18:38-07:00,2017-01-02 00:25:00-07:00,2017-01-02 00:30:00-07:00
155475286,283.292133333334,73.8224666666666,2018-05-25T20:18:38Z,2017-01-02T07:30:00Z,2017-01-02T07:35:00Z,2018-05-25 13:18:38-07:00,2017-01-02 00:30:00-07:00,2017-01-02 00:35:00-07:00
155475287,283.11946666666597,74.16800000000009,2018-05-25T20:18:38Z,2017-01-02T07:35:00Z,2017-01-02T07:40:00Z,2018-05-25 13:18:38-07:00,2017-01-02 00:35:00-07:00,2017-01-02 00:40:00-07:00
155475288,282.865733333333,75.4688,2018-05-25T20:18:38Z,2017-01-02T07:40:00Z,2017-01-02T07:45:00Z,2018-05-25 13:18:38-07:00,2017-01-02 00:40:00-07:00,2017-01-02 00:45:00-07:00
155475289,282.72323333333304,75.1871000000001,2018-05-25T20:18:38Z,2017-01-02T07:45:00Z,2017-01-02T07:50:00Z,2018-05-25 13:18:38-07:00,2017-01-02 00:45:00-07:00,2017-01-02 00:50:00-07:00
155475290,284.733672440178,76.7583024696252,2018-05-25T20:20:57Z,2017-01-02T07:50:00Z,2017-01-01T16:24:30Z,2018-05-25 13:20:57-07:00,2017-01-02 00:50:00-07:00,2017-01-01 09:24:30-07:00
155475161,281.606105769231,78.4135096153847,2018-05-25T20:13:43Z,2017-01-02T08:56:32Z,2017-01-02T09:00:00Z,2018-05-25 13:13:43-07:00,2017-01-02 01:56:32-07:00,2017-01-02 02:00:00-07:00
155475162,281.5432,77.5968000000001,2018-05-25T20:13:43Z,2017-01-02T09:00:00Z,2017-01-02T09:05:00Z,2018-05-25 13:13:43-07:00,2017-01-02 02:00:00-07:00,2017-01-02 02:05:00-07:00
155475163,281.501013513514,77.21918918918921,2018-05-25T20:13:43Z,2017-01-02T09:05:00Z,2017-01-02T09:10:00Z,2018-05-25 13:13:43-07:00,2017-01-02 02:05:00-07:00,2017-01-02 02:10:00-07:00
155475164,281.324533333334,78.2748333333335,2018-05-25T20:13:43Z,2017-01-02T09:10:00Z,2017-01-02T09:15:00Z,2018-05-25 13:13:43-07:00,2017-01-02 02:10:00-07:00,2017-01-02 02:15:00-07:00
155475165,281.264566666667,78.1524,2018-05-25T20:13:43Z,2017-01-02T09:15:00Z,2017-01-02T09:20:00Z,2018-05-25 13:13:43-07:00,2017-01-02 02:15:00-07:00,2017-01-02 02:20:00-07:00
155475166,281.30796666666697,77.4569,2018-05-25T20:13:43Z,2017-01-02T09:20:00Z,2017-01-02T09:25:00Z,2018-05-25 13:13:43-07:00,2017-01-02 02:20:00-07:00,2017-01-02 02:25:00-07:00
155475167,281.241966666666,77.9648333333335,2018-05-25T20:13:43Z,2017-01-02T09:25:00Z,2017-01-02T09:30:00Z,2018-05-25 13:13:43-07:00,2017-01-02 02:25:00-07:00,2017-01-02 02:30:00-07:00
155475168,281.135283333332,79.11293333333299,2018-05-25T20:13:43Z,2017-01-02T09:30:00Z,2017-01-02T09:35:00Z,2018-05-25 13:13:43-07:00,2017-01-02 02:30:00-07:00,2017-01-02 02:35:00-07:00
155475169,281.140689999999,78.7056,2018-05-25T20:13:43Z,2017-01-02T09:35:00Z,2017-01-02T09:40:00Z,2018-05-25 13:13:43-07:00,2017-01-02 02:35:00-07:00,2017-01-02 02:40:00-07:00
155475170,281.157909999999,78.3192333333333,2018-05-25T20:13:43Z,2017-01-02T09:40:00Z,2017-01-02T09:45:00Z,2018-05-25 13:13:43-07:00,2017-01-02 02:40:00-07:00,2017-01-02 02:45:00-07:00
155475171,281.140169999999,78.5952333333335,2018-05-25T20:13:43Z,2017-01-02T09:45:00Z,2017-01-02T09:50:00Z,2018-05-25 13:13:43-07:00,2017-01-02 02:45:00-07:00,2017-01-02 02:50:00-07:00
