Timestamp,Station,AirTemperature,AirTemperature,RelativeHumidity,Precipitation,WindSpeed2m,WindSpeed2m,SoilTemperature5cm,SoilTemperature5cm,SoilTemperature10cm,SoilTemperature10cm,SolarRadiation,ETo,ETo
,,max,min,avg,total,avg,max,max,min,max,min,total,grass,alfalfa
,,°F,°F,%,inches,mph,mph,°F,°F,°F,°F,ly,inches,inches
2016-06-01,Manhattan,81.7,57.9,65.9,0,3.1,13.8,82.1,66.7,78.4,68.1,660.1,0.21,0.25
2016-06-02,Manhattan,84.8,56.1,59.6,0,2.8,14,85.1,66.8,80.7,68.4,673.7,0.22,0.26
2016-06-03,Manhattan,85.8,55.4,63.2,0.15,3.9,22.9,85.8,67.9,81.1,69.5,667.8,0.23,0.28
2016-06-04,Manhattan,83.6,59.6,60.1,0.01,7.2,23.6,79.7,69.4,77.3,70.8,693.1,0.27,0.36
2016-06-05,Manhattan,85.3,57.4,52.9,0,4.7,16.9,84,66.7,79.7,68.3,707.2,0.26,0.33
2016-06-06,Manhattan,91.3,60.7,50.3,0,4.6,26.5,84.6,68.1,79.8,69.5,618.1,0.26,0.35
2016-06-07,Manhattan,82.7,57,50.4,0,2.5,10.2,85.6,68.2,81.3,69.7,708.6,0.22,0.26
2016-06-08,Manhattan,92.1,61.2,54.7,0,6.7,23.2,86.3,70.3,82.1,71.4,661.1,0.29,0.39
2016-06-09,Manhattan,92.8,73.6,47.1,0,9.5,24.4,86.4,73.5,82.4,73.9,655.1,0.35,0.5
2016-06-10,Manhattan,93.6,74.7,54.3,0,8.9,21.2,87.7,74.7,83.8,74.9,642.5,0.32,0.44
2016-06-11,Manhattan,94,75.2,55,0,7.3,19.6,88.1,76,84.5,76.2,593.8,0.3,0.4
2016-06-12,Manhattan,93.4,73.7,60.5,0,6,22.5,90.1,76.1,86.2,76.6,645.3,0.28,0.36
2016-06-13,Manhattan,90.2,70.6,68.7,0,3.9,13,87,76.5,84.1,77,488.5,0.2,0.24
2016-06-14,Manhattan,95.8,71.8,58.6,0,5.8,19,89.8,76.4,86.2,76.9,632,0.3,0.39
2016-06-15,Manhattan,101.6,68.2,53.4,0.11,4.6,24.2,92.8,76.1,88.7,76.9,645.1,0.3,0.4
2016-06-16,Manhattan,96.4,71.7,53.5,0,6.7,29.1,91.4,75.6,87.5,76.6,648.4,0.31,0.42
2016-06-17,Manhattan,98.7,76.1,66,0,4.8,16.7,94.3,78.5,90.2,79,648.4,0.29,0.36
2016-06-18,Manhattan,89.6,71.3,62.2,0,6.1,20.3,91.2,79.5,87.8,80,500.5,0.23,0.3
2016-06-19,Manhattan,94.5,70.7,58.3,0,6.8,18.7,92,77.4,88.1,78.2,602.9,0.29,0.38
2016-06-20,Manhattan,99.8,76,55.7,0,5.6,19,94.3,79.1,90.4,79.5,640.6,0.31,0.4
2016-06-21,Manhattan,101.3,72.3,49.4,0,5.3,22.8,94.6,79.5,90.7,80.1,656.3,0.31,0.41
2016-06-22,Manhattan,104.8,78.6,46.4,0,8.1,23.1,95,80,91.1,80.5,643.9,0.38,0.53
2016-06-23,Manhattan,92.2,72.8,54.2,0,4,15.1,93.3,80.4,89.7,81.1,516.7,0.23,0.3
2016-06-24,Manhattan,86.2,68.8,73.3,0,4.8,16.4,84.6,78.7,83,79.5,314.6,0.16,0.2
2016-06-25,Manhattan,97.7,75.3,54.3,0,8.6,22.6,91.7,78.4,87.7,78.7,518.1,0.31,0.44
2016-06-26,Manhattan,87.6,71.7,70.2,0,2.9,17.6,88.5,79.1,85.6,79.7,395,0.16,0.19
2016-06-27,Manhattan,96.5,64.6,63.8,0.01,2.6,24.5,94.7,76.1,90.6,77.4,664.4,0.25,0.29
2016-06-28,Manhattan,85.6,64.8,70.7,0.99,3.9,25.5,90.8,74.2,87.9,75.3,611.2,0.21,0.25
2016-06-29,Manhattan,85.3,67.7,71.9,0,4.1,16.2,89.6,75.9,86.6,77.3,525.1,0.19,0.23
2016-06-30,Manhattan,90.4,69.1,64.7,0,3.9,15.8,87.9,76.3,85.7,77.5,542,0.22,0.27
2016-07-01,Manhattan,81.8,68,61.4,0,4.3,12.7,84.2,75.4,82.5,76.7,423.9,0.18,0.23
2016-07-02,Manhattan,78,64.2,89.6,1.53,4.4,15.5,80.4,73.5,79,74.8,180,0.09,0.12
2016-07-03,Manhattan,71.8,62.8,94.3,0.1,4.4,14.1,77.1,73.2,76.3,73.9,168.7,0.07,0.08
2016-07-04,Manhattan,86.4,64.8,81.8,0.01,2.4,10.3,83.8,72.6,81.3,73.3,495.2,0.17,0.2
2016-07-05,Manhattan,98.5,70.6,67.4,0,6.4,17.5,87.9,75.5,85,76.1,637.7,0.29,0.38
2016-07-06,Manhattan,94.8,72.6,60.9,0,5.6,22.2,89,77.9,86.2,78.5,652,0.29,0.38
2016-07-07,Manhattan,93,65.9,72.3,0.64,6.3,38.3,86.8,76.4,84.6,77.7,554.7,0.25,0.32
2016-07-08,Manhattan,89.2,72.8,72.8,0,3.8,13.6,89.1,78.8,86.6,79.3,589,0.22,0.27
2016-07-09,Manhattan,92.7,71.3,69.5,0,4.7,14.8,88.6,78.4,86.4,79.3,610.7,0.24,0.29
2016-07-10,Manhattan,93.9,75.2,64.8,0,8.6,22.8,88.1,79.2,85.9,79.8,655.8,0.3,0.39
2016-07-11,Manhattan,94.3,77.7,63.8,0,11.8,29.8,87.6,79.4,85.4,79.9,615.5,0.32,0.43
2016-07-12,Manhattan,83,66.9,80.1,0.86,6,36.9,82.2,75.4,82.4,77,327.7,0.13,0.17
2016-07-13,Manhattan,88.6,66.7,80.3,0.83,3.2,36.7,83.2,74.4,81.4,75.4,459.2,0.17,0.2
2016-07-14,Manhattan,86.1,68.1,80.3,0,2.6,20.1,82.2,76.1,80.9,76.9,402.6,0.16,0.19
2016-07-15,Manhattan,83.2,64.2,78.5,0,4.3,17.5,80.5,74,79.4,75.3,495.5,0.18,0.21
2016-07-16,Manhattan,89.7,65.4,72.5,0,5.4,20.2,83.6,74,81.6,75,594,0.23,0.29
2016-07-17,Manhattan,94.8,75.7,65.3,0,7.4,18.3,84.8,77.2,82.8,77.6,603.8,0.28,0.36
2016-07-18,Manhattan,94.5,76.9,60.7,0,6.8,17.6,85.4,77.4,83.6,78.1,569,0.28,0.36
2016-07-19,Manhattan,95,78.3,60.5,0,6.6,18,85.4,78.6,83.7,79.1,597.6,0.29,0.38
2016-07-20,Manhattan,97.9,78.5,58.5,0,8.3,20.6,87.6,78.9,85.3,79.3,638.4,0.33,0.44
2016-07-21,Manhattan,100.2,79.8,53.8,0,7.4,18.5,89.4,79.7,86.9,80.1,641.1,0.33,0.45
2016-07-22,Manhattan,102.7,81.1,51.3,0,6.3,23.4,89.6,80.6,87.1,81,554.4,0.32,0.44
2016-07-23,Manhattan,98.6,80.4,51.8,0,7,18.7,86.6,81.1,85.1,81.4,411,0.28,0.39
2016-07-24,Manhattan,91.5,72.5,65.2,0.05,4.3,17.5,86,79.6,83.9,80.3,347.5,0.18,0.23
2016-07-25,Manhattan,85,67.8,82.9,0.91,3,14.2,82.5,76.8,81.1,77.5,317.9,0.13,0.16
2016-07-26,Manhattan,87.6,65.3,75.2,0,2.4,11.3,87.2,74.7,85,76,642.2,0.21,0.24
2016-07-27,Manhattan,93.5,67.5,74.3,0,2,10.6,86.2,76.6,84.3,77.7,531,0.19,0.22
2016-07-28,Manhattan,91.8,67.6,74.8,1.69,3.1,24.7,87.1,76.3,84.9,77.5,605,0.22,0.27
2016-07-29,Manhattan,85.6,67.1,78.8,0.01,2.2,10.4,83.7,75.4,82.2,76.3,529.4,0.18,0.2
2016-07-30,Manhattan,85.2,64.9,78,0,3.2,16.1,83.6,75.3,82.2,76.5,571.6,0.19,0.22
2016-07-31,Manhattan,88.6,69.4,84.4,0.33,4.7,16.1,84.8,76.7,83.1,77.3,429.8,0.17,0.2
2016-08-01,Manhattan,88.1,77.4,71,0,7,22.2,85,78.9,83.8,79.3,529.4,0.21,0.25
2016-08-02,Manhattan,86.4,74.5,77.1,0,4.1,15.3,83.4,79.4,82.5,79.7,337,0.14,0.17
2016-08-03,Manhattan,95.7,73.5,74.4,0,4.1,15,87,78.2,85.2,78.7,558.5,0.23,0.28
2016-08-04,Manhattan,96.7,76,61.3,0,3.8,12.8,86.1,79.8,84.7,80.3,452.3,0.21,0.26
2016-08-05,Manhattan,79.7,66.9,85.4,0.41,3.6,14.8,81.9,76.9,82.4,77.6,163.5,0.08,0.1
2016-08-06,Manhattan,80.5,68.3,75.4,0,2.4,11,79.5,75.5,79,76.2,298.6,0.12,0.13
2016-08-07,Manhattan,73.1,66,91.5,0.81,3.7,20.7,76.9,73.9,77.7,74.9,129.1,0.06,0.07
2016-08-08,Manhattan,82.5,68.2,84.4,0,2.7,12,78.3,73.9,77.8,74.4,324.8,0.12,0.13
2016-08-09,Manhattan,93.9,70.8,73.5,0,3.7,12.9,83,75.4,81.7,75.9,566.1,0.22,0.26
2016-08-10,Manhattan,94,75.9,67.6,0,6,17.4,83.3,77.6,82.4,78.2,548.2,0.24,0.3
2016-08-11,Manhattan,96.8,71.7,65.8,0.65,7.4,25.5,83.9,78.2,82.9,78.8,565.9,0.27,0.35
2016-08-12,Manhattan,84.9,69.2,83.9,0.31,4.4,17.2,81.7,77.6,80.8,78.6,428.6,0.16,0.19
2016-08-13,Manhattan,89.2,64.6,71.7,0,2.3,14.6,82.2,74.3,81,75.7,609.3,0.2,0.24
2016-08-14,Manhattan,87.6,65.8,71.2,0,2.1,10.4,81.7,75.2,80.7,76.4,543,0.18,0.21
2016-08-15,Manhattan,86.4,65,72.2,0,1.9,9.5,80.1,74.8,79.4,75.9,376.6,0.14,0.16
